"chamber","Date","leaf_area","SLA","leaf_mass"
"C01",2015-10-28,0.3868803,83.6,46.27754784689
"C01",2015-10-29,0.389031042857143,83.6,46.5348137388927
"C01",2015-10-30,0.391181785714286,83.6,46.7920796308955
"C01",2015-10-31,0.393332528571429,83.6,47.0493455228982
"C01",2015-11-01,0.395483271428571,83.6,47.3066114149008
"C01",2015-11-02,0.397634014285714,83.6,47.5638773069036
"C01",2015-11-03,0.399784757142857,83.6,47.8211431989063
"C01",2015-11-04,0.4019355,83.6,48.0784090909091
"C01",2015-11-05,0.404086242857143,83.6,48.3356749829118
"C01",2015-11-06,0.406236985714286,83.6,48.5929408749146
"C01",2015-11-07,0.408387728571429,83.6,48.8502067669174
"C01",2015-11-08,0.410538471428571,83.6,49.10747265892
"C01",2015-11-09,0.412689214285714,83.6,49.3647385509227
"C01",2015-11-10,0.414839957142857,83.6,49.6220044429255
"C01",2015-11-11,0.4169907,83.6,49.8792703349282
"C01",2015-11-12,0.428228142857143,83.6,51.2234620642516
"C01",2015-11-13,0.439465585714286,83.6,52.5676537935749
"C01",2015-11-14,0.450703028571429,83.6,53.9118455228982
"C01",2015-11-15,0.461940471428571,83.6,55.2560372522214
"C01",2015-11-16,0.473177914285714,83.6,56.6002289815447
"C01",2015-11-17,0.484415357142857,83.6,57.9444207108681
"C01",2015-11-18,0.4956528,83.6,59.2886124401914
"C01",2015-11-19,0.506890242857143,83.6,60.6328041695147
"C01",2015-11-20,0.518127685714286,83.6,61.976995898838
"C01",2015-11-21,0.529365128571429,83.6,63.3211876281614
"C01",2015-11-22,0.540602571428571,83.6,64.6653793574846
"C01",2015-11-23,0.551840014285714,83.6,66.0095710868079
"C01",2015-11-24,0.563077457142857,83.6,67.3537628161312
"C01",2015-11-25,0.5743149,83.6,68.6979545454546
"C01",2015-11-26,0.6066229,83.6,72.56254784689
"C01",2015-11-27,0.6389309,83.6,76.4271411483254
"C01",2015-11-28,0.6712389,83.6,80.2917344497608
"C01",2015-11-29,0.7035469,83.6,84.1563277511962
"C01",2015-11-30,0.7358549,83.6,88.0209210526316
"C01",2015-12-01,0.7681629,83.6,91.885514354067
"C01",2015-12-02,0.8004709,83.6,95.7501076555024
"C01",2015-12-03,0.8327789,83.6,99.6147009569378
"C01",2015-12-04,0.8650869,83.6,103.479294258373
"C01",2015-12-05,0.8973949,83.6,107.343887559809
"C01",2015-12-06,0.9297029,83.6,111.208480861244
"C01",2015-12-07,0.9620109,83.6,115.073074162679
"C01",2015-12-08,0.9943189,83.6,118.937667464115
"C01",2015-12-09,1.0266269,83.6,122.80226076555
"C01",2015-12-10,1.03990728571429,83.6,124.390823650035
"C01",2015-12-11,1.05318767142857,83.6,125.979386534518
"C01",2015-12-12,1.06646805714286,83.6,127.567949419002
"C01",2015-12-13,1.07974844285714,83.6,129.156512303486
"C01",2015-12-14,1.09302882857143,83.6,130.74507518797
"C01",2015-12-15,1.10630921428571,83.6,132.333638072453
"C01",2015-12-16,1.1195896,83.6,133.922200956938
"C01",2015-12-17,1.12227502857143,83.6,134.243424470267
"C01",2015-12-18,1.12496045714286,83.6,134.564647983596
"C01",2015-12-19,1.12764588571429,83.6,134.885871496925
"C01",2015-12-20,1.13033131428571,83.6,135.207095010252
"C01",2015-12-21,1.13301674285714,83.6,135.528318523581
"C01",2015-12-22,1.13570217142857,83.6,135.84954203691
"C01",2015-12-23,1.1383876,83.6,136.170765550239
"C01",2015-12-24,1.17924827857143,83.6,141.058406527683
"C01",2015-12-25,1.22010895714286,83.6,145.946047505127
"C01",2015-12-26,1.26096963571429,83.6,150.833688482571
"C01",2015-12-27,1.30183031428571,83.6,155.721329460013
"C01",2015-12-28,1.34269099285714,83.6,160.608970437457
"C01",2015-12-29,1.38355167142857,83.6,165.496611414901
"C01",2015-12-30,1.42441235,83.6,170.384252392345
"C01",2015-12-31,1.46527302857143,83.6,175.271893369788
"C01",2016-01-01,1.50613370714286,83.6,180.159534347232
"C01",2016-01-02,1.54699438571429,83.6,185.047175324676
"C01",2016-01-03,1.58785506428571,83.6,189.934816302118
"C01",2016-01-04,1.62871574285714,83.6,194.822457279562
"C01",2016-01-05,1.66957642142857,83.6,199.710098257006
"C01",2016-01-06,1.7104371,83.6,204.59773923445
